Protein ID,Rate Constant
EG11748-MONOMER,1.925408834888737e-05
EG11749-MONOMER,1.925408834888737e-05
EG11750-MONOMER,1.925408834888737e-05
EG11760-MONOMER,1.925408834888737e-05
EG11761-MONOMER,1.925408834888737e-05
EG11763-MONOMER,1.925408834888737e-05
EG11764-MONOMER,1.925408834888737e-05
EG11765-MONOMER,1.925408834888737e-05
EG11769-MONOMER,1.925408834888737e-05
EG11775-MONOMER,1.925408834888737e-05
EG11779-MONOMER,1.925408834888737e-05
EG11783-MONOMER,1.925408834888737e-05
EG11785-MONOMER,1.925408834888737e-05
EG11790-MONOMER,1.925408834888737e-05
EG11793-MONOMER,1.925408834888737e-05
EG11798-MONOMER,1.925408834888737e-05
EG11800-MONOMER,1.925408834888737e-05
EG11803-MONOMER,1.925408834888737e-05
EG11804-MONOMER,1.925408834888737e-05
EG11805-MONOMER,1.925408834888737e-05
EG11808-MONOMER,1.925408834888737e-05
EG11812-MONOMER,1.925408834888737e-05
EG11815-MONOMER,1.925408834888737e-05
EG11816-MONOMER,1.925408834888737e-05
EG11817-MONOMER,1.925408834888737e-05
EG11822-MONOMER,1.925408834888737e-05
EG11824-MONOMER,1.925408834888737e-05
EG11825-MONOMER,1.925408834888737e-05
EG11826-MONOMER,1.925408834888737e-05
EG11828-MONOMER,1.925408834888737e-05
EG11832-MONOMER,1.925408834888737e-05
EG11833-MONOMER,1.925408834888737e-05
EG11839-MONOMER,1.925408834888737e-05
EG11844-MONOMER,1.925408834888737e-05
EG11845-MONOMER,1.925408834888737e-05
EG11847-MONOMER,1.925408834888737e-05
EG11849-MONOMER,1.925408834888737e-05
EG11851-MONOMER,1.925408834888737e-05
EG11853-MONOMER,1.925408834888737e-05
EG11854-MONOMER,1.925408834888737e-05
EG11855-MONOMER,1.925408834888737e-05
EG11860-MONOMER,1.925408834888737e-05
EG11861-MONOMER,1.925408834888737e-05
EG11862-MONOMER,1.925408834888737e-05
EG11865-MONOMER,1.925408834888737e-05
EG11875-MONOMER,1.925408834888737e-05
EG11877-MONOMER,1.925408834888737e-05
EG11882-MONOMER,1.925408834888737e-05
EG11886-MONOMER,1.925408834888737e-05
EG11888-MONOMER,1.925408834888737e-05
EG11889-MONOMER,1.925408834888737e-05
EG11890-MONOMER,1.925408834888737e-05
EG11894-MONOMER,1.925408834888737e-05
EG11895-MONOMER,1.925408834888737e-05
EG11900-MONOMER,1.925408834888737e-05
EG11901-MONOMER,1.925408834888737e-05
EG11902-MONOMER,1.925408834888737e-05
EG11903-MONOMER,1.925408834888737e-05
EG11906-MONOMER,1.925408834888737e-05
EG11910-MONOMER,1.925408834888737e-05
EG11911-MONOMER,1.925408834888737e-05
EG11912-MONOMER,1.925408834888737e-05
EG11913-MONOMER,1.925408834888737e-05
EG11917-MONOMER,1.925408834888737e-05
EG11918-MONOMER,1.925408834888737e-05
EG11920-MONOMER,1.925408834888737e-05
EG11922-MONOMER,1.925408834888737e-05
EG11923-MONOMER,1.925408834888737e-05
EG11924-MONOMER,1.925408834888737e-05
EG11925-MONOMER,1.925408834888737e-05
EG11926-MONOMER,1.925408834888737e-05
EG11929-MONOMER,1.925408834888737e-05
EG11930-MONOMER,1.925408834888737e-05
EG11931-MONOMER,1.925408834888737e-05
EG11933-MONOMER,1.925408834888737e-05
EG11936-MONOMER,1.925408834888737e-05
EG11937-MONOMER,1.925408834888737e-05
EG11938-MONOMER,1.925408834888737e-05
EG11941-MONOMER,1.925408834888737e-05
EG11948-MONOMER,1.925408834888737e-05
EG11949-MONOMER,1.925408834888737e-05
EG11950-MONOMER,1.925408834888737e-05
EG11952-MONOMER,1.925408834888737e-05
EG11954-MONOMER,1.925408834888737e-05
EG11955-MONOMER,1.925408834888737e-05
EG11956-MONOMER,1.925408834888737e-05
EG11957-MONOMER,1.925408834888737e-05
EG11962-MONOMER,1.925408834888737e-05
EG11966-MONOMER,1.925408834888737e-05
EG11969-MONOMER,1.925408834888737e-05
EG11970-MONOMER,1.925408834888737e-05
EG11972-MONOMER,1.925408834888737e-05
EG11973-MONOMER,1.925408834888737e-05
EG11974-MONOMER,1.925408834888737e-05
EG11975-MONOMER,1.925408834888737e-05
EG11976-MONOMER,1.925408834888737e-05
EG11977-MONOMER,1.925408834888737e-05
EG11982-MONOMER,1.925408834888737e-05
EG11983-MONOMER,1.925408834888737e-05
EG11984-MONOMER,1.925408834888737e-05
EG11985-MONOMER,1.925408834888737e-05
EG11987-MONOMER,1.925408834888737e-05
EG11988-MONOMER,1.925408834888737e-05
EG11989-MONOMER,1.925408834888737e-05
EG11990-MONOMER,1.925408834888737e-05
EG11991-MONOMER,1.925408834888737e-05
EG11992-MONOMER,1.925408834888737e-05
EG11995-MONOMER,1.925408834888737e-05
EG11998-MONOMER,1.925408834888737e-05
EG11999-MONOMER,1.925408834888737e-05
