Monomer ID,Log10 Average Protein Count
EG10339-MONOMER[c],1.7533756114736845
EG10341-MONOMER[i],1.4929032410756422
EG10342-MONOMER[i],1.4619492240651804
EG10343-MONOMER[c],2.36632363189296
EG10344-MONOMER[i],1.653370990553433
EG10346-MONOMER[c],2.4267131133233217
EG10347-MONOMER[c],3.141701418497742
EG10355-MONOMER[c],2.7743077442703936
EG10360-MONOMER[c],4.12730629851022
EG10370-MONOMER[c],2.696755707204515
EG10373-MONOMER[p],1.8796865624517598
EG10374-MONOMER[p],1.7671303030642207
EG10375-MONOMER[c],2.3644940789194586
EG10376-MONOMER[c],2.5495169509692954
EG10381-MONOMER[c],1.880555115358944
EG10395-MONOMER[c],2.63994728991557
EG10397-MONOMER[i],2.385189795303909
EG10415-MONOMER[c],3.047047999320907
EG10416-MONOMER[c],3.921868910871397
EG10423-MONOMER[c],2.986031727345651
EG10424-MONOMER[c],2.2201774130922254
EG10426-MONOMER[c],2.1304411755266814
EG10434-MONOMER[i],2.0290148750582127
EG10435-MONOMER[m],3.060166073743793
EG10436-MONOMER[c],3.09871321184962
EG10437-MONOMER[c],2.483614276402779
EG10438-MONOMER[c],3.66604477185205
EG10439-MONOMER[c],3.551679440830621
EG10442-MONOMER[c],1.9666298476898794
EG10443-MONOMER[c],1.8136685485612987
EG10454-MONOMER[c],2.15731611508848
EG10455-MONOMER[c],4.024779900300976
EG10456-MONOMER[c],2.3156681637998493
EG10458-MONOMER[c],2.454828076895473
EG10459-MONOMER[c],2.18433295609428
EG10460-MONOMER[c],2.1533689048080875
EG10461-MONOMER[c],3.1691241181999907
EG10462-MONOMER[m],2.9054760985913632
EG10463-MONOMER[i],3.070865663735539
EG10466-MONOMER[c],4.8165639054067295
EG10467-MONOMER[c],4.50771498421159
EG10471-MONOMER[c],0.9825982619187525
EG10472-MONOMER[c],0.9164322299153708
EG10473-MONOMER[c],0.9944495633741745
EG10474-MONOMER[c],1.1394914844586357
EG10481-MONOMER[c],1.0773965440490143
EG10483-MONOMER[i],1.2778764703756693
EG10484-MONOMER[c],1.8939357227799927
EG10485-MONOMER[c],1.8927696562131737
EG10486-MONOMER[c],1.7405717933775118
EG10487-MONOMER[c],1.5953242751433228
EG10488-MONOMER[p],1.7680326750569402
EG10490-MONOMER[c],2.219221157580715
EG10504-MONOMER[c],4.168694105920415
EG10506-MONOMER[c],3.6749403948977237
EG10507-MONOMER[c],1.184054358086993
EG10513-MONOMER[i],1.0176844046010118
EG10515-MONOMER[i],0.9630624918337233
EG10523-MONOMER[c],2.948507894092901
EG10528-MONOMER[o],2.2675588091752963
EG10529-MONOMER[c],2.950566191312481
EG10530-MONOMER[i],2.286561080803882
EG10534-MONOMER[c],2.1950206427552104
EG10535-MONOMER[c],1.579395226757227
EG10542-MONOMER[c],2.863040002431685
EG10544-MONOMER[m],5.436335351263578
EG10548-MONOMER[i],2.2086017183382274
EG10559-MONOMER[p],2.160771648165289
EG10564-MONOMER[c],2.016905725966609
EG10570-MONOMER[c],3.484121358435478
EG10571-MONOMER[c],2.6514705789073703
EG10572-MONOMER[c],2.33368188985478
EG10573-MONOMER[c],1.299804336359906
EG10575-MONOMER[c],1.8242301810104185
EG10580-MONOMER[p],2.635190642033612
EG10595-MONOMER[c],1.8726938065419176
EG10596-MONOMER[c],2.691883499496726
EG10597-MONOMER[c],3.2016789241629766
EG10598-MONOMER[c],2.980320285767617
EG10599-MONOMER[c],3.754011867388825
EG10600-MONOMER[c],3.8077205667765543
EG10603-MONOMER[c],3.3918513350559025
EG10606-MONOMER[i],2.031426803432606
EG10607-MONOMER[i],2.1177148243115345
EG10608-MONOMER[i],3.214829000624023
EG10609-MONOMER[i],1.8854958480035078
EG10610-MONOMER[i],1.7715745228260509
EG10611-MONOMER[c],2.785803430028503
EG10612-MONOMER[c],2.234283379305631
EG10613-MONOMER[m],1.691495923245022
EG10618-MONOMER[c],1.9262701669009203
EG10624-MONOMER[c],1.4969288213188385
EG10625-MONOMER[c],2.305973904796182
EG10626-MONOMER[c],1.8276926299930922
EG10627-MONOMER[p],1.6112223258493021
EG10634-MONOMER[c],2.920510946507624
EG10651-MONOMER[c],2.6767683100991873
EG10656-MONOMER[c],2.2783361177485255
EG10657-MONOMER[i],3.0456211136366202
EG10658-MONOMER[m],2.9652058386107307
EG10662-MONOMER[c],2.2279732842005577
EG10665-MONOMER[c],3.2019275499838797
EG10666-MONOMER[c],3.357664781441034
EG10667-MONOMER[c],3.3212909340710013
EG10668-MONOMER[c],1.7160094364185976
EG10669-MONOMER[o],5.118095128956284
EG10670-MONOMER[o],3.2503839499745877
EG10671-MONOMER[o],5.084023405871074
EG10673-MONOMER[o],4.636653515775304
EG10679-MONOMER[i],2.4175246668105808
EG10680-MONOMER[c],3.212598175854264
EG10684-MONOMER[o],4.338008207039266
EG10686-MONOMER[c],2.1732549729559536
EG10687-MONOMER[c],2.5277352891616562
EG10689-MONOMER[c],2.1227440301178144
EG10690-MONOMER[c],2.4160719243819573
EG10694-MONOMER[c],2.765115777927403
EG10695-MONOMER[c],3.3410811906937803
EG10696-MONOMER[i],2.8565945054643462
EG10697-MONOMER[c],2.598716848400857
EG10698-MONOMER[c],3.0882815186532806
EG10711-MONOMER[c],2.7764924750531943
