Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU00120	EG10160	[cpdB 4,434,622 &larr; 4,436,565]	1944	-
TU0-1041	G0-16649 // G7816	[cpxPQ 4,105,820 &rarr; 4,106,387]	568	+
TU0-3	EG10163 // EG10020	[cpxRA 4,103,602 &larr; 4,105,670]	2069	-
TU0-12808	EG10338	[cra 88,028 &rarr; 89,032]	1005	+
TU0-8778	EG12209	[crcB 657,555 &larr; 657,938]	384	-
TU0-14475	EG11217 // EG11218 // EG10730	[creABC 4,635,521 &rarr; 4,638,120]	2600	+
TU00253	EG11217 // EG11218 // EG10730 // EG10145	[creABCD 4,635,521 &rarr; 4,639,530]	4010	+
TU0-14683	EG10145	[creD 4,638,178 &rarr; 4,639,530]	1353	+
TU0-14398	EG10164	[crp 3,486,120 &rarr; 3,486,752]	633	+
TU00119	EG10164	[crp 3,486,120 &rarr; 3,486,752]	633	+
TU0-14396	EG10164	[crp 3,486,120 &rarr; 3,486,752]	633	+
TU0-4786	EG10165	[crr 2,535,834 &rarr; 2,536,343]	510	+
TU0-4782	EG10165	[crr 2,535,834 &rarr; 2,536,343]	510	+
TU0-13741	G7455 // G7454	[TU0-13741 2,943,337 &rarr; 2,944,985]	1649	+
TU0-42695	EG11489	[csgA 1,104,447 &rarr; 1,104,902]	456	+
TU00390	G6547 // EG11489 // G6548	[csgBAC 1,103,951 &rarr; 1,105,293]	1343	+
TU0-14514	G6548	[csgC 1,104,961 &rarr; 1,105,293]	333	+
TU00392	G6546 // G6543 // G6545 // G6544	[csgDEFG 1,100,851 &larr; 1,103,196]	2346	-
TU0-14429	G6546 // G6543 // G6545 // G6544	[csgDEFG 1,100,851 &larr; 1,103,196]	2346	-
TU0-4001	EG11330 // G7394 // EG12387 // EG11329 // EG10361	[csiD-ygaF-gabDTP 2,788,985 &rarr; 2,795,653]	6669	+
TU0-3982	G7329	[csiE 2,665,435 &rarr; 2,666,715]	1281	+
TU0-14294	EG12386	[CsiR 2,795,674 &rarr; 2,796,336]	663	+
TU0-1582	EG10166	[cspA 3,720,049 &rarr; 3,720,261]	213	+
TU0-1581	EG10166	[cspA 3,720,049 &rarr; 3,720,261]	213	+
TU0-6982	EG12203	[cspB 1,641,339 &larr; 1,641,554]	216	-
TU0-6486	EG11111	[cspD 922,366 &larr; 922,590]	225	-
TU0-14576	EG12179	[cspE 657,292 &rarr; 657,501]	210	+
TU0-13001	EG12179	[cspE 657,292 &rarr; 657,501]	210	+
TU0-8779	EG12205	[cspF 1,641,855 &rarr; 1,642,067]	213	+
TU0-41806	EG12205	[TU0-41806 1,641,855 &rarr; 1,642,067]	213	+
TU0-6983	G6511	[cspG 1,051,461 &rarr; 1,051,673]	213	+
TU0-8780	G6510	[cspH 1,050,963 &larr; 1,051,175]	213	-
TU0-42493	G6825	[cspI 1,638,455 &larr; 1,638,667]	213	-
TU0-6981	G6825	[cspI 1,638,455 &larr; 1,638,667]	213	-
TU0-42459	EG11447	[csrA 2,818,961 &larr; 2,819,146]	186	-
TU0-42456	EG11447	[csrA 2,818,961 &larr; 2,819,146]	186	-
TU0-42457	EG11447	[csrA 2,818,961 &larr; 2,819,146]	186	-
TU0-13716	EG11447	[TU0-13716 2,818,961 &larr; 2,819,146]	186	-
TU0-42458	EG11447	[csrA 2,818,961 &larr; 2,819,146]	186	-
TU0-4761	G0-8785	[csrB 2,924,156 &larr; 2,924,524]	369	-
TU0-4822	G0-8874	[csrC 4,051,036 &rarr; 4,051,280]	245	+
TU0-13904	EG10018	[TU0-13904 3,401,392 &larr; 3,403,332]	1941	-
TU0-6821	EG10167	[cstA 629,894 &rarr; 631,999]	2106	+
TU0-6822	EG10167	[cstA 629,894 &rarr; 631,999]	2106	+
TU0-6823	EG10167	[cstA 629,894 &rarr; 631,999]	2106	+
TU0-3124	EG12318	[cueO 137,083 &rarr; 138,633]	1551	+
TU0-12955	G6263	[TU0-12955 513,993 &rarr; 514,400]	408	+
TU0-13272	G6760	[TU0-13272 1,519,027 &rarr; 1,520,064]	1038	+
TU0-1821	G6321 // G6320 // EG12367 // G6322	[cusCFBA 595,600 &rarr; 601,857]	6258	+
TU0-1822	G6319 // G6318	[cusRS 593,328 &larr; 595,443]	2116	-
TU359	EG12177	[cutA 4,365,018 &larr; 4,365,356]	339	-
TU00444	EG10169 // EG11044 // EG10794	[cvpA-purF-ubiX 2,428,057 &larr; 2,430,763]	2707	-
TU00475	EG10169 // EG11044 // EG10794	[cvpA-purF-ubiX 2,428,057 &larr; 2,430,763]	2707	-
TU0-13174	G6620	[TU0-13174 1,240,335 &larr; 1,242,071]	1737	-
TU0-14403	EG10170	[cyaA 3,991,153 &rarr; 3,993,699]	2547	+
TU0-14402	EG10170	[cyaA 3,991,153 &rarr; 3,993,699]	2547	+
TU00016	EG10170	[cyaA 3,991,153 &rarr; 3,993,699]	2547	+
TU0-13506	G0-8878	[cyaR 2,167,114 &rarr; 2,167,200]	87	+
TU0-14229	EG11653	[TU0-14229 3,993,739 &larr; 3,994,059]	321	-
TU0-13253	EG10172	[TU0-13253 1,490,902 &rarr; 1,491,432]	531	+
TU0-14168	EG50008	[TU0-14168 4,459,488 &rarr; 4,459,855]	368	+
TU0-14159	EG12504	[cycA 4,429,864 &rarr; 4,431,276]	1413	+
TU00100	EG10174 // EG10173	[cydAB 771,458 &rarr; 774,181]	2724	+
TU0-3161	EG10174 // EG10173	[cydAB 771,458 &rarr; 774,181]	2724	+
TU0-3162	EG10174 // EG10173	[cydAB 771,458 &rarr; 774,181]	2724	+
TU358	EG10174 // EG10173	[cydAB 771,458 &rarr; 774,181]	2724	+
TU0-3163	EG10174 // EG10173	[cydAB 771,458 &rarr; 774,181]	2724	+
TU00254	EG10012 // EG11405	[cydDC 927,474 &larr; 930,962]	3489	-
TU00143	EG11421	[cynR 357,791 &larr; 358,690]	900	-
TU0-14378	EG10176 // EG10175	[cynTS 358,799 &rarr; 359,959]	1161	+
TU00142	EG10177 // EG10176 // EG10175	[cynTSX 358,799 &rarr; 361,146]	2348	+
TU00101	EG10179 // EG10182 // EG10178 // EG10181 // EG10180	[cyoABCDE 446,815 &larr; 451,610]	4796	-
TU00077	EG10184	[cysB 1,333,855 &rarr; 1,334,829]	975	+
TU00146	EG10194 // EG10186 // EG10185	[cysDNC 2,873,387 &larr; 2,876,329]	2943	-
TU0-6501	EG10187	[cysE 3,781,741 &larr; 3,782,562]	822	-
TU0-0	EG10188	[cysG 3,497,828 &rarr; 3,499,201]	1374	+
TU0-6	EG10188	[cysG 3,497,828 &rarr; 3,499,201]	1374	+
TU0-14511	EG10189	[cysH 2,887,578 &larr; 2,888,312]	735	-
TU00078	EG10189 // EG10191 // EG10190	[cysJIH 2,887,578 &larr; 2,891,898]	4321	-
TU0-14642	EG10192	[cysK 2,532,409 &rarr; 2,533,380]	972	+
TU00079	EG10192	[cysK 2,532,409 &rarr; 2,533,380]	972	+
TU00144	EG10183 // EG10198 // EG10197 // EG10195 // EG10193	[cysPUWAM 2,538,672 &larr; 2,543,528]	4857	-
TU0-14162	EG10043	[TU0-14162 4,436,755 &rarr; 4,437,495]	741	+
TU0-8477	EG10196	[cysS 554,611 &rarr; 555,996]	1386	+
TU0-13622	EG10003	[TU0-13622 2,531,463 &rarr; 2,532,224]	762	+
TU0-5961	EG10200	[cytR 4,123,431 &larr; 4,124,456]	1026	-
TU0-13869	EG12754 // G7622	[TU0-13869 3,255,341 &larr; 3,258,010]	2670	-
TU0-13008	EG10201	[TU0-13008 662,752 &larr; 663,963]	1212	-
TU0-8781	EG10202	[dacB 3,328,963 &rarr; 3,330,396]	1434	+
TU0-8782	EG10203	[dacC 880,727 &rarr; 881,929]	1203	+
TU0-13488	EG11893	[TU0-13488 2,081,381 &larr; 2,082,547]	1167	-
TU461	EG11408 // EG11407	[dadAX 1,237,571 &rarr; 1,239,949]	2379	+
TU00255	EG11408 // EG11407	[dadAX 1,237,571 &rarr; 1,239,949]	2379	+
TU462	EG11408 // EG11407	[dadAX 1,237,571 &rarr; 1,239,949]	2379	+
TU875	EG10204 // EG11871 // EG11030 // M004	[dam-rpe-gph-trpS 3,512,634 &larr; 3,515,913]	3280	-
TU876	EG10204 // EG11871 // EG11030 // M004	[dam-rpe-gph-trpS 3,512,634 &larr; 3,515,913]	3280	-
TU874	EG10204 // EG11871 // EG11030 // EG11183 // M004	[damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,517,306]	4673	-
TU00256	EG10658 // EG10205	[dapA-nlpB 2,597,831 &larr; 2,599,760]	1930	-
TU0-6403	EG10206	[dapB 28,374 &rarr; 29,195]	822	+
TU0-14399	EG10206	[dapB 28,374 &rarr; 29,195]	822	+
TU0-6443	EG10207	[dapD 185,123 &larr; 185,947]	825	-
TU0-14404	EG10208 // G0-10463	[dapE-ypfN 2,591,607 &rarr; 2,592,962]	1356	+
TU0-13179	EG12392	[TU0-13179 1,259,124 &larr; 1,260,803]	1680	-
TU0-14492	EG11418	[dcd 2,141,634 &larr; 2,142,215]	582	-
TU00257	EG10211 // EG11068	[dcm-vsr 2,030,448 &larr; 2,032,317]	1870	-
TU0-8783	EG10212	[dcp 1,625,335 &larr; 1,627,380]	2046	-
TU0-13945	G7767	[TU0-13945 3,609,955 &rarr; 3,610,512]	558	+
TU0-1461	EG20044	[dctA 3,682,161 &larr; 3,683,447]	1287	-
TU621	EG11225	[dcuA 4,365,472 &larr; 4,366,773]	1302	-
TU0-42567	EG11225	[dcuA 4,365,472 &larr; 4,366,773]	1302	-
TU0-4562	EG10006 // EG10357	[dcuB-fumB 4,345,680 &larr; 4,348,744]	3065	-
TU00468	EG10006 // EG10357	[dcuB-fumB 4,345,680 &larr; 4,348,744]	3065	-
TU0-1603	G6347	[dcuC 654,583 &larr; 655,968]	1386	-
TU0-8761	G7679	[dcuD 3,374,869 &rarr; 3,376,236]	1368	+
TU0-1902	G7679	[dcuD 3,374,869 &rarr; 3,376,236]	1368	+
TU0-14431	G7826	[dcuR 4,349,315 &larr; 4,350,034]	720	-
TU0-8347	G7826 // G7827	[dcuSR 4,349,315 &larr; 4,351,662]	2348	-
TU0-13453	EG12347 // G7037 // G7038	[dcyD-tcyLN 1,997,062 &larr; 1,999,480]	2419	-
TU0-8784	EG10213	[ddlA 399,829 &larr; 400,923]	1095	-
TU0-42462	G6782 // G6778 // G6777 // G6779 // G6780 // G6781	[ddpXABCDF 1,557,112 &larr; 1,563,076]	5965	-
TU0-42463	G6782 // G6778 // G6777 // G6779 // G6780 // G6781	[ddpXABCDF 1,557,112 &larr; 1,563,076]	5965	-
TU0-3623	G6782 // G6778 // G6777 // G6779 // G6780 // G6781	[ddpXABCDF 1,557,112 &larr; 1,563,076]	5965	-
TU0-13880	EG10215	[TU0-13880 3,305,971 &larr; 3,307,860]	1890	-
TU0-12936	G6247	[decR 468,383 &rarr; 468,841]	459	+
TU00258	EG11268 // EG11440	[def-fmt 3,433,690 &rarr; 3,435,161]	1472	+
TU584	EG10463	[degP 180,884 &rarr; 182,308]	1425	+
TU0-42560	G7682	[degQ 3,380,743 &rarr; 3,382,110]	1368	+
TU0-13898	EG11652 // G7682	[degQS 3,380,743 &rarr; 3,383,267]	2525	+
TU0-42561	EG11652	[degS 3,382,200 &rarr; 3,383,267]	1068	+
TU0-14537	EG10220 // EG10222 // EG10219	[deoA 4,618,229 &rarr; 4,621,602]	3374	+
TU0-6646	EG10220 // EG10222	[deoBD 4,619,603 &rarr; 4,621,602]	2000	+
TU00017	EG10221 // EG10220 // EG10222 // EG10219	[deoCABD 4,617,323 &rarr; 4,621,602]	4280	+
TU00018	EG10221 // EG10220 // EG10222 // EG10219	[deoCABD 4,617,323 &rarr; 4,621,602]	4280	+
TU0-13067	EG10223	[deoR 881,976 &larr; 882,734]	759	-
TU0-14356	EG10004	[dfp 3,812,731 &rarr; 3,813,951]	1221	+
TU0-13302	G6808	[TU0-13302 1,610,907 &larr; 1,611,854]	948	-
TU0-13402	G6972	[TU0-13402 1,872,041 &rarr; 1,873,531]	1491	+
TU0-13460	G7049	[TU0-13460 2,026,323 &larr; 2,028,017]	1695	-
TU0-13308	EG11643	[dgcZ 1,622,960 &larr; 1,623,850]	891	-
TU0-14115	EG10224	[dgkA 4,256,637 &rarr; 4,257,005]	369	+
TU0-36442	EG10224	[dgkA 4,256,637 &rarr; 4,257,005]	369	+
TU0-14018	GB4478 // G7789 // EG20051 // EG20049 // EG20053	[dgoRKADT 3,870,438 &larr; 3,875,160]	4723	-
TU0-12823	EG10225	[dgt 179,237 &rarr; 180,754]	1518	+
TU0-14393	EG10225	[dgt 179,237 &rarr; 180,754]	1518	+
TU0-7981	G6627 // EG12399 // G6626	[dhaKLM 1,247,696 &larr; 1,250,838]	3143	-
TU0-14518	EG12399	[dhaM 1,247,696 &larr; 1,249,114]	1419	-
TU0-7962	G6628	[dhaR 1,251,066 &rarr; 1,252,985]	1920	+
TU0-14343	EG12780	[diaA 3,295,809 &rarr; 3,296,399]	591	+
TU0-13328	EG10226	[TU0-13328 1,647,934 &rarr; 1,648,341]	408	+
TU0-13331	EG11303 // EG10227 // G6837 // G6836 // EG11304	[dicB-ydfDE-insD-intQ 1,649,609 &rarr; 1,652,708]	3100	+
TU0-13327	G6835 // EG10228 // G6834	[dicC-ydfXW 1,647,174 &larr; 1,647,850]	677	-
TU0-13330	EG31115	[TU0-13330 1,649,382 &rarr; 1,649,434]	53	+
TU0-12853	G6115 // G6117 // G6116 // G6118	[dinB-yafNOP 250,898 &rarr; 253,161]	2264	+
TU0-14002	EG11193	[dinD 3,817,760 &rarr; 3,818,584]	825	+
TU0-6301	EG11357 // EG11580	[dinG-ybiB 833,070 &rarr; 836,210]	3141	+
TU0-13128	G6558	[dinI 1,121,242 &larr; 1,121,487]	246	-
TU0-12849	G6110 // G6109	[dinJ-yafQ 245,961 &larr; 246,502]	542	-
TU0-8263	G0-9981	[dinQ 3,647,705 &larr; 3,647,788]	84	-
TU0-12801	EG11570	[TU0-12801 57,364 &rarr; 58,179]	816	+
TU0-13824	G7565	[TU0-13824 3,156,623 &rarr; 3,157,450]	828	+
TU0-12839	EG11648	[dkgB 229,167 &rarr; 229,970]	804	+
TU0-42497	EG11362 // EG10230	[dksA-gluQ 159,186 &larr; 160,604]	1419	-
TU0-14494	EG11362 // EG10230	[dksA-yadB 159,186 &larr; 160,604]	1419	-
TU0-14681	EG11362 // EG10230	[dksA-yadB 159,186 &larr; 160,604]	1419	-
TU0-8787	EG10231	[dld 2,222,185 &rarr; 2,223,900]	1716	+
TU0-13410	G6986	[TU0-13410 1,881,912 &rarr; 1,882,997]	1086	+
TU0-13409	G6985	[TU0-13409 1,880,886 &larr; 1,881,809]	924	-
TU0-1122	EG10232 // EG10234 // EG10233	[dmsABC 940,959 &rarr; 944,896]	3938	+
TU00019	EG10232 // EG10234 // EG10233	[dmsABC 940,959 &rarr; 944,896]	3938	+
TU0-42696	EG10234	[dmsC 944,033 &rarr; 944,896]	864	+
TU593	EG10242 // EG10235 // EG10828	[dnaAN-recF 3,880,148 &larr; 3,883,729]	3582	-
TU00259	EG10242 // EG10235 // EG10828	[dnaAN-recF 3,880,148 &larr; 3,883,729]	3582	-
TU0-14119	EG10236	[dnaB 4,264,314 &rarr; 4,265,729]	1416	+
TU00260	EG10241 // EG10240 // G0-8893	[dnaKJ 12,163 &rarr; 15,298]	3136	+
TU00417	EG10241 // EG10240 // G0-8893	[dnaKJ 12,163 &rarr; 15,298]	3136	+
TU00418	EG10241 // EG10240 // G0-8893	[dnaKJ 12,163 &rarr; 15,298]	3136	+
TU0-1194	EG10242 // EG10828	[dnaN-recF 3,880,148 &larr; 3,882,321]	2174	-
TU0-1195	EG10242 // EG10828	[dnaN-recF 3,880,148 &larr; 3,882,321]	2174	-
TU0-1196	EG10242 // EG10828	[dnaN-recF 3,880,148 &larr; 3,882,321]	2174	-
TU0-1193	EG10242 // EG10828	[dnaN-recF 3,880,148 &larr; 3,882,321]	2174	-
TU0-6647	EG10243	[dnaQ 236,067 &rarr; 236,798]	732	+
TU0-6648	EG10243	[dnaQ 236,067 &rarr; 236,798]	732	+
TU0-12843	EG10243	[TU0-12843 236,067 &rarr; 236,798]	732	+
TU0-8868	EG10237 // EG10244	[dnaTC 4,600,238 &larr; 4,601,517]	1280	-
TU00261	EG10237 // EG10244 // EG11214	[dnaTC-yjjA 4,599,695 &larr; 4,601,517]	1823	-
TU0-12948	EG10245	[dnaX 492,092 &rarr; 494,023]	1932	+
TU0-8478	G6784 // G6783	[dosCP 1,563,334 &larr; 1,567,140]	3807	-
TU0-13000	G6346 // G6345	[dpiBA 652,235 &rarr; 654,542]	2308	+
TU0-14751	G6346 // G6345	[dpiBA 652,235 &rarr; 654,542]	2308	+
TU00262	EG12627 // EG10248 // EG12628 // EG12625 // EG12626	[dppABCDF 3,701,864 &larr; 3,707,705]	5842	-
TU00176	EG11415	[dps 848,408 &larr; 848,911]	504	-
TU0-1062	EG11297	[dsbA 4,043,418 &rarr; 4,044,044]	627	+
TU0-13172	EG11393	[TU0-13172 1,232,500 &larr; 1,233,030]	531	-
TU0-4141	EG11070	[dsbC 3,038,112 &larr; 3,038,822]	711	-
TU-8392	EG10762 // EG11070 // EG10830	[dsbC-recJ-prfB 3,035,184 &larr; 3,038,822]	3639	-
TU0-14140	EG12176 // EG12178	[TU0-14140 4,362,733 &larr; 4,365,042]	2310	-
TU0-12995	G6333	[TU0-12995 637,827 &larr; 638,573]	747	-
TU00375	EG10249	[dsdA 2,479,202 &rarr; 2,480,530]	1329	+
TU00149	EG13161	[dsdC 2,476,694 &larr; 2,477,629]	936	-
TU00148	EG10249 // EG10250	[dsdXA 2,477,847 &rarr; 2,480,530]	2684	+
TU0-8788	G7047	[dsrA 2,025,227 &larr; 2,025,313]	87	-
TU0-8789	G7045	[dsrB 2,024,635 &larr; 2,024,823]	189	-
TU0-13956	EG12232	[TU0-13956 3,640,862 &rarr; 3,642,331]	1470	+
TU0-14139	EG12469	[TU0-14139 4,354,954 &larr; 4,356,411]	1458	-
TU0-8563	G6378	[dtpD 741,075 &larr; 742,556]	1482	-
TU0-14118	EG11932	[TU0-14118 4,261,669 &rarr; 4,262,706]	1038	+
TU00021	EG10317 // EG11311	[dusB-fis 3,410,280 &rarr; 3,411,567]	1288	+
TU0-13534	EG12022	[dusC 2,229,438 &larr; 2,230,385]	948	-
TU0-8321	EG10251 // EG11191	[dut-slmA 3,813,929 &rarr; 3,815,090]	1162	+
TU0-12831	EG12715 // EG10139 // G6092	[dxr-uppS-cdsA 193,521 &rarr; 196,534]	3014	+
TU0-12882	G0-10525 // G6169 // G6168 // EG12161	[TU0-12882 314,357 &rarr; 316,453]	2097	+
TU0-8704	EG11639	[eamA 1,620,238 &larr; 1,621,137]	900	-
TU00127	EG10253 // EG10252	[ebgAC 3,222,633 &rarr; 3,226,171]	3539	+
TU0-13850	EG10254	[ebgR 3,221,466 &rarr; 3,222,449]	984	+
TU0-14145	G0-9562 // G0-41	[TU0-14145 4,376,317 &rarr; 4,376,699]	383	+
TU0-14682	G0-9562	[ecnB 4,376,553 &rarr; 4,376,699]	147	+
TU0-8790	EG10255	[eco 2,303,905 &rarr; 2,304,393]	489	+
TU0-12879	G6164	[ecpA 310,084 &larr; 310,671]	588	-
TU0-14611	G6162 // G6161 // G6163 // G6160	[ecpBCDE 304,495 &larr; 310,026]	5532	-
TU0-12878	G6162 // G6161 // G6163 // G6160	[ecpBCDE 304,495 &larr; 310,026]	5532	-
TU0-12880	G6165	[ecpR 310,746 &larr; 311,336]	591	-
TU27	EG10256	[eda 1,932,115 &larr; 1,932,756]	642	-
TU25	EG10256	[eda 1,932,115 &larr; 1,932,756]	642	-
TU26	EG10256	[eda 1,932,115 &larr; 1,932,756]	642	-
TU00227	EG10256 // EG10257	[edd-eda 1,932,115 &larr; 1,934,604]	2490	-
TU0-13116	G6527 // EG11735	[TU0-13116 1,082,243 &rarr; 1,084,647]	2405	+
TU0-13115	G6525	[efeU 1,081,356 &rarr; 1,082,185]	830	+
TU0-1222	EG12099	[efp 4,375,699 &rarr; 4,376,265]	567	+
TU0-13572	G7174	[TU0-13572 2,381,082 &larr; 2,381,543]	462	-
TU0-13571	G7173	[elaB 2,380,722 &larr; 2,381,027]	306	-
TU0-13574	G7176	[TU0-13574 2,382,713 &rarr; 2,383,924]	1212	+
TU0-13890	EG11383 // G7668	[TU0-13890 3,349,081 &larr; 3,350,459]	1379	-
TU0-13094	G6480	[TU0-13094 997,868 &rarr; 998,407]	540	+
TU0-13095	G6482 // G6485 // G6484 // G6483 // EG12397 // G6481	[TU0-13095 998,490 &rarr; 1,004,657]	6168	+
TU0-14013	EG11693	[emrD 3,853,922 &rarr; 3,855,106]	1185	+
TU0-14417	EG10629	[emrE 568,315 &rarr; 568,647]	333	+
TU0-3101	EG13283 // G7233	[emrKY 2,480,638 &larr; 2,483,339]	2702	-
TU00459	EG10603 // EG11354 // EG11439	[emrRAB 2,810,770 &rarr; 2,814,154]	3385	+
TU0-8791	G6622	[emtA 1,243,180 &rarr; 1,243,791]	612	+
TU00453	EG11336	[endA 3,090,347 &rarr; 3,091,054]	708	+
TU00452	EG11336	[endA 3,090,347 &rarr; 3,091,054]	708	+
TU0-14820	EG10258	[eno 2,906,643 &larr; 2,907,941]	1299	-
TU0-14412	EG10258	[eno 2,906,643 &larr; 2,907,941]	1299	-
TU0-14821	EG10258	[eno 2,906,643 &larr; 2,907,941]	1299	-
TU0-14413	EG10258	[eno 2,906,643 &larr; 2,907,941]	1299	-
TU0-14653	EG10258	[eno 2,906,643 &larr; 2,907,941]	1299	-
TU0-14414	EG10258	[eno 2,906,643 &larr; 2,907,941]	1299	-
TU00166	EG10261 // EG10260 // EG10263 // EG10259 // EG11105	[entCEBA-ybdB 624,885 &rarr; 629,713]	4829	+
TU0-14617	EG11105	[entH 629,300 &rarr; 629,713]	414	+
TU0-6043	EG11104	[entS 622,300 &rarr; 623,550]	1251	+
TU0-6042	EG11104	[entS 622,300 &rarr; 623,550]	1251	+
TU0-8792	EG11741	[envR 3,412,803 &larr; 3,413,465]	663	-
TU00264	EG10268 // EG10673	[envY-ompT 584,680 &larr; 586,908]	2229	-
TU00443	EG10703 // EG10368	[epd-pgk 3,071,459 &larr; 3,073,691]	2233	-
TU0-8082	EG10703 // EG10368 // EG10282	[epd-pgk-fbaA 3,070,165 &larr; 3,073,691]	3527	-
TU0-14146	EG11211	[epmA 4,382,643 &rarr; 4,383,620]	978	+
TU0-14143	G7836	[TU0-14143 4,374,629 &larr; 4,375,657]	1029	-
TU0-14345	EG11613	[eptA 4,333,947 &larr; 4,335,590]	1644	-
TU0-13975	EG12267	[eptB 3,708,784 &larr; 3,710,475]	1692	-
TU0-14094	EG11914	[TU0-14094 4,148,532 &larr; 4,150,265]	1734	-
TU0-8480	EG12332	[erpA 176,610 &rarr; 176,954]	345	+
TU0-42484	G0-10737	[esrE 4,019,978 &rarr; 4,020,229]	252	+
TU-8422	G6310 // G6309 // G6311	[essD-ybcS-rzpD 577,398 &rarr; 578,568]	1171	+
TU0-13321	G6827 // G6826 // G6829 // G6828	[TU0-13321 1,639,030 &larr; 1,640,585]	1556	-
TU0-13627	EG50006 // EG12190 // G7271 // EG50007 // G7270	[TU0-13627 2,554,130 &larr; 2,558,679]	4550	-
TU0-13634	G7281 // G7282	[TU0-13634 2,565,481 &larr; 2,568,107]	2627	-
TU0-13635	G7286 // G7285 // G7284 // G7283	[TU0-13635 2,568,324 &larr; 2,572,050]	3727	-
TU0-13636	G7287 // G7292 // G7291 // G7290 // G7289 // G7288	[TU0-13636 2,572,157 &larr; 2,575,805]	3649	-
TU0-7561	EG11609 // EG11610	[evgAS 2,483,755 &rarr; 2,487,967]	4213	+
TU0-7541	EG11609 // EG11610	[evgAS 2,483,755 &rarr; 2,487,967]	4213	+
TU00265	EG10271 // EG10272	[exbBD 3,150,818 &larr; 3,151,984]	1167	-
TU0-2562	EG10272	[exbD 3,150,818 &larr; 3,151,243]	426	-
TU0-12969	G6295	[TU0-12969 566,098 &larr; 566,361]	264	-
TU0-42612	EG12739	[exuR 3,246,652 &rarr; 3,247,428]	777	+
TU0-14749	EG12738	[exuT 3,245,224 &rarr; 3,246,522]	1299	+
TU00150	EG12738	[exuT 3,245,224 &rarr; 3,246,522]	1299	+
TU00092	EG10273	[fabA 1,015,952 &larr; 1,016,470]	519	-
TU0-1482	EG10274	[fabB 2,440,385 &larr; 2,441,605]	1221	-
TU442	EG11317 // EG11318 // EG50003	[fabDG-acpP 1,149,728 &rarr; 1,151,851]	2124	+
TU0-42538	EG12606	[fabF 1,151,939 &rarr; 1,153,180]	1242	+
TU443	EG11318 // EG50003	[fabG-acpP 1,150,670 &rarr; 1,151,851]	1182	+
TU00266	EG11317 // EG10277 // EG11318	[fabHDG 1,148,759 &rarr; 1,151,404]	2646	+
TU0-13204	EG11528	[fabI 1,350,251 &larr; 1,351,039]	789	-
TU0-42604	EG11528	[fabI 1,350,251 &larr; 1,351,039]	789	-
TU0-14097	EG11394 // EG11395	[TU0-14097 4,161,067 &rarr; 4,162,130]	1064	+
TU00267	EG11284	[fabZ 202,101 &rarr; 202,556]	456	+
TU00215	EG10279 // EG10278	[fadBA 4,027,609 &larr; 4,030,971]	3363	-
TU0-4187	EG11530 // G0-9384	[fadD-sroD 1,888,017 &larr; 1,889,746]	1730	-
TU0-8793	G6105	[fadE 240,859 &larr; 243,303]	2445	-
TU0-13853	G36	[fadH 3,231,665 &rarr; 3,233,683]	2019	+
TU0-5321	G7212 // G7213	[fadIJ 2,457,015 &larr; 2,460,469]	3455	-
TU00080	EG10280	[fadL 2,461,306 &rarr; 2,462,646]	1341	+
TU0-12932	G6244	[fadM 464,402 &rarr; 464,800]	399	+
TU0-14737	EG10281	[fadR 1,234,938 &rarr; 1,235,657]	720	+
TU0-8794	EG10281	[fadR 1,234,938 &rarr; 1,235,657]	720	+
TU0-8469	G7129	[fbaB 2,177,512 &larr; 2,178,564]	1053	-
TU0-8336	EG10283	[fbp 4,454,611 &larr; 4,455,609]	999	-
TU0-14073	EG11859	[TU0-14073 4,086,016 &rarr; 4,086,849]	834	+
TU00152	EG10285	[fdhF 4,297,219 &larr; 4,299,366]	2148	-
TU00157	EG11228 // EG11227 // EG11229	[fdnGHI 1,547,401 &rarr; 1,551,991]	4591	+
TU00268	EG11857 // EG10284 // EG11856 // EG11858	[fdoGHI-fdhE 4,080,299 &larr; 4,085,822]	5524	-
TU0-12962	G6289 // G6287 // EG12384 // G6288	[TU0-12962 546,680 &rarr; 551,332]	4653	+
TU0-42551	G7961	[feaB 1,447,519 &rarr; 1,449,018]	1500	+
TU0-8795	G7961	[feaB 1,447,519 &rarr; 1,449,018]	1500	+
TU0-42547	G6706	[feaR 1,446,378 &larr; 1,447,283]	906	-
TU501	G6706	[feaR 1,446,378 &larr; 1,447,283]	906	-
TU0-42548	G6706	[feaR 1,446,378 &larr; 1,447,283]	906	-
TU0-42549	G6706	[feaR 1,446,378 &larr; 1,447,283]	906	-
TU00151	EG10286 // EG10290 // EG10289 // EG10288 // EG10287	[fecABCDE 4,510,690 &larr; 4,516,677]	5988	-
TU00460	EG10291 // EG10292	[fecIR 4,516,764 &larr; 4,518,235]	1472	-
TU00269	EG12933 // EG12102 // EG12101	[feoABC 3,540,163 &rarr; 3,542,964]	2802	+
TU00163	EG10293 // EG10262	[fepA-entD 609,459 &larr; 612,494]	3036	-
TU00164	EG10294	[fepB 623,554 &larr; 624,510]	957	-
TU0-3963	EG10295 // EG10296 // EG10298	[fepDGC 619,384 &larr; 622,189]	2806	-
