Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU0-6485	EG10138	[cdh 4,109,930 &rarr; 4,110,685]	756	+
TU0-14340	EG10139	[cdsA 195,677 &rarr; 196,534]	858	+
TU0-13050	EG12406 // G6412 // G6411 // G6409 // G6410	[cecR-ybhGFSR 825,002 &larr; 830,643]	5642	-
TU781	G6936	[cedA 1,813,421 &larr; 1,813,663]	243	-
TU502	EG11531	[cfa 1,741,413 &rarr; 1,742,561]	1149	+
TU503	EG11531	[cfa 1,741,413 &rarr; 1,742,561]	1149	+
TU0-8777	EG11753	[chaA 1,270,749 &larr; 1,271,849]	1101	-
TU00249	EG12402 // EG12403	[chaBC 1,272,119 &rarr; 1,273,202]	1084	+
TU0-14458	EG12403	[chaC 1,272,507 &rarr; 1,273,202]	696	+
TU00248	EG10140 // EG10143 // EG10142 // EG10141 // EG10144 // EG12198	[chbBCARFG 1,816,386 &larr; 1,821,619]	5234	-
TU0-3141	EG11237	[chiA 3,467,160 &larr; 3,469,853]	2694	-
TU0-13021	G6370 // G6371	[chiP-ybfN 708,334 &rarr; 710,116]	1783	+
