Protein ID	half_life (units.min)	notes	assignment
sp|P0A962|ASPG1_ECOLI	771.9375084000001	consistent	C-lim12_1
sp|P0A964|CHEW_ECOLI	287.64928914	consistent	C-lim12_1
sp|P0A972|CSPE_ECOLI	180.12936449999998	consistent	C-lim12_1
sp|P0A9A6|FTSZ_ECOLI	171.75952320000002	consistent	C-lim12_1
sp|P0A9B2|G3P1_ECOLI	740.1066726	consistent	C-lim12_1
sp|P0A9B6|E4PD_ECOLI	536.2046228400001	consistent	C-lim12_1
sp|P0A9C5|GLN1B_ECOLI	702.3967896	consistent	C-lim12_1
sp|P0A9C9|GLPX_ECOLI	616.567335	consistent	C-lim12_1
sp|P0A9D4|CYSE_ECOLI	615.0752904	consistent	C-lim12_1
sp|P0A9D8|DAPD_ECOLI	578.12393436	consistent	C-lim12_1
sp|P0A9E0|ARAC_ECOLI	110.7242871	consistent	C-lim12_1
sp|P0A9E5|FNR_ECOLI	134.65647252	consistent	C-lim12_1
