"transcription_units"	"monomers_to_remove"
["EG11954", "EG11953", "EG11952"]	["EG11954", "EG11953", "EG11952"]
["EG11210", "G7823"]	["EG11210", "G7823"]
["G7828", "G7829"]	["G7828", "G7829"]
["G7830", "G0-10472"]	["G7830", "G0-10472"]
["EG12178", "EG12176"]	["EG12178"]
["G0-41", "G0-9562"]	["G0-41"]
["G7838", "G7839"]	["G7838", "G7839"]
["G7846", "G7847"]	["G7846", "G7847"]
["G7848", "G7849", "G7850", "EG11812"]	["G7848", "G7849", "G7850", "EG11812"]
["G7874", "G7875", "G7876"]	["G7874", "G7875", "G7876"]
["EG12517", "EG12518", "EG12520", "EG12439"]	["EG12517", "EG12518", "EG12520", "EG12439"]
["G7888", "G7889"]	["G7888", "G7889"]
["EG12544", "G7901"]	["EG12544"]
["G7912", "G7911", "G7910"]	["G7912", "G7911", "G7910"]
["EG12557", "G0-10241", "EG12556", "G7915", "EG12554", "G7914", "G7913"]	["EG12557", "G0-10241", "EG12556", "G7915", "EG12554", "G7914", "G7913"]
["G0-10473", "G7917"]	["G0-10473", "G7917"]
["G7927", "G7926", "G7925"]	["G7927", "G7926", "G7925"]
["G7932", "G7931"]	["G7932", "G7931"]
["EG12576", "G7933"]	["EG12576", "G7933"]
["G7941", "EG10021"]	["G7941", "EG10021"]
["EG11414", "EG10850", "EG12115"]	["EG11414", "EG10850", "EG12115"]
["G7951", "G7952"]	["G7951", "G7952"]
["EG10339", "EG10347"]	["EG10339"]
["EG11296", "EG11335"]	["EG11296", "EG11335"]
["EG10548", "EG11080", "EG11081"]	["EG10548", "EG11080", "EG11081"]
["EG11231", "EG10881"]	["EG11231"]
["EG11001", "EG10506", "EG11231", "EG10881", "EG11272", "EG10709", "EG10710", "EG10440"]	["EG11001", "EG11231", "EG10709", "EG10710"]
["EG10093", "EG11199"]	[]
["EG10093", "EG11199", "EG10375"]	["EG10375"]
["EG10835", "EG10571", "EG11249"]	["EG10571", "EG11249"]
["EG12427", "EG10002", "EG10152"]	["EG12427", "EG10002", "EG10152"]
["EG10841", "EG11388", "EG11389"]	["EG10841", "EG11388", "EG11389"]
["G7609", "G7610"]	["G7609", "G7610"]
["EG11923", "EG11924", "EG11925", "EG11926"]	["EG11924", "EG11925", "EG11926"]
["EG12802", "G7662"]	["EG12802", "G7662"]
["G7663", "G7664", "G7665", "EG11680"]	["G7663", "G7664", "G7665", "EG11680"]
["G7665", "EG11680"]	["G7665", "EG11680"]
["G6461", "G6462"]	["G6461"]
["EG12327", "EG12326", "EG12325", "EG11678"]	["EG12327", "EG12326", "EG12325"]
["EG10378", "EG10381", "EG10379", "EG10377", "EG10380"]	["EG10378", "EG10381", "EG10379", "EG10377", "EG10380"]
["G7423", "EG11816"]	["G7423", "EG11816"]
