# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Tue Mar 24 16:58:41 2026
id	common_name	half_life (units.min)
"EG10870-MONOMER"	"rplI"	1914.725051971764
"EG10909-MONOMER"	"rpsJ"	1914.725051971764
"EG10910-MONOMER"	"rpsK"	1914.725051971764
"EG10911-MONOMER"	"rpsL"	1914.725051971764
"EG10912-MONOMER"	"rpsM"	1914.725051971764
"EG10915-MONOMER"	"rpsP"	1914.725051971764
"EG10917-MONOMER"	"rpsR"	1914.725051971764
"EG10918-MONOMER"	"rpsS"	1914.725051971764
"EG10919-MONOMER"	"rpsT"	1914.725051971764
"EG10901-MONOMER"	"rpsB"	1914.725051971764
"EG10902-MONOMER"	"rpsC"	1914.725051971764
"EG10903-MONOMER"	"rpsD"	1914.725051971764
"EG10904-MONOMER"	"rpsE"	1914.725051971764
"EG10907-MONOMER"	"rpsH"	1914.725051971764
"EG10908-MONOMER"	"rpsI"	1914.725051971764
"EG11153-MONOMER"	"rimM"	1407.6665005967966
"EG10857-MONOMER"	"rnc"	1657.1509766856327
"EG10860-MONOMER"	"rnhA"	1914.725051971764
"EG10862-MONOMER"	"rnpA"	1470.3874920964467
"RIB5PISOMA-MONOMER"	"rpiA"	1914.725051971764
"EG10893-MONOMER"	"rpoA"	1914.725051971764
"EG10899-MONOMER"	"rpoZ"	552.4234616694514
"EG10335-MONOMER"	"frr"	1615.8346917417387
"EG10923-MONOMER"	"ruvA"	1914.725051971764
"EG10924-MONOMER"	"ruvB"	515.859897477562
"EG10925-MONOMER"	"ruvC"	550.833776613342
"S-ADENMETSYN-MONOMER"	"metK"	960.2134735254497
"EG10941-MONOMER"	"selA"	1914.725051971764
"EG10949-MONOMER"	"sfsA"	1914.725051971764
"GLYOHMETRANS-MONOMER"	"glyA"	1914.725051971764
"DCTA-MONOMER"	"dctA"	1914.725051971764
"EG11782-MONOMER"	"smpB"	1914.725051971764
"SUCCCOASYN-BETA"	"sucC"	1914.725051971764
"EG11817-MONOMER"	"umpG"	1656.4105991344206
"EG11305-MONOMER"	"tatE"	69.24057792116213
"EG10996-MONOMER"	"tgt"	1914.725051971764
