"Gene"	"M9 Glucose minus AAs"
"EG10983"	9.860035
"EG10984"	9.84341
"EG10985"	10.99275
"EG10986"	9.588695
"EG10987"	8.581525
"EG10988"	9.10237
"EG10989"	8.36645
"EG10990"	8.34642
"EG10991"	8.523915
"EG10992"	5.86955
"EG10993"	9.42249
"EG10994"	9.936875
"EG10995"	9.48952
"EG10996"	10.60725
"EG10997"	9.752045
"EG10998"	11.6864
"EG10999"	10.8426
"EG11000"	10.99905
"EG11001"	11.55915
"EG11002"	10.27315
"EG11003"	11.83995
"EG11004"	8.809135
"EG11005"	8.437915
"EG11006"	7.321905
"EG11007"	10.5535
"EG11008"	11.16895
"EG11009"	11.04405
"EG11010"	10.113435
"EG11011"	9.96343
"EG11012"	10.10024
"EG11013"	10.8505
"EG11014"	8.810075
"EG11015"	11.37795
"EG11016"	8.63785
"EG11017"	9.051995
"EG11018"	8.60383
"EG11019"	9.27378
"EG11020"	8.977315
"EG11021"	9.07787
"EG11022"	10.3456
"EG11023"	12.95325
"EG11024"	10.348315
"EG11025"	10.03878
"EG11026"	10.292815
"EG11027"	9.2049
"EG11028"	8.963805
"EG11029"	9.35315
"EG11030"	11.4444
"EG11031"	11.8677
"EG11032"	10.98995
"EG11033"	12.49975
"EG11034"	9.401895
"EG11035"	10.17159
"EG11036"	13.1828
"EG11037"	9.10687312127
"EG11038"	9.06812
"EG11039"	9.639685
"EG11040"	10.498495
"EG11041"	7.69975
"EG11042"	7.93542
"EG11043"	11.21355
"EG11044"	9.075865
"EG11045"	9.72182
"EG11046"	8.830965
"EG11047"	8.61721
"EG11048"	8.28384
"EG11049"	8.201505
"EG11050"	9.295555
"EG11051"	9.963845
"EG11052"	7.903355
"EG11053"	9.032105
"EG11054"	7.65423
"EG11055"	7.55081
"EG11056"	7.705845
"EG11057"	7.840115
"EG11058"	9.094115
"EG11059"	9.735935
"EG11060"	9.488685
"EG11061"	8.301295
"EG11062"	9.52427
"EG11063"	9.90953
"EG11064"	9.59373
"EG11065"	8.173655
"EG11066"	8.449355
"EG11067"	10.62375
"EG11068"	8.161715
"EG11069"	10.06138
"EG11070"	9.98691
"EG11071"	9.983805
"EG11072"	10.42242
"EG11073"	9.38287
"EG11074"	8.821095
"EG11075"	8.467075
"EG11076"	8.85129
"EG11078"	9.57279
"EG11079"	10.71705
"EG11080"	10.3901
"EG11081"	9.82511
"EG11082"	8.712005
"EG11083"	9.562205
"EG11084"	10.292
"EG11085"	9.89486
"EG11086"	10.20595
"EG11087"	10.72255
"EG11088"	10.175205
"EG11089"	9.83061
"EG11090"	10.5717
"EG11091"	9.30046
"EG11092"	11.96175
"EG11093"	9.763725
"EG11094"	8.77873
"EG11095"	8.57121
"EG11096"	11.3838
"EG11097"	9.950285
"EG11098"	10.3455
"EG11099"	8.40253
"EG11100"	11.5787
"EG11101"	7.455235
"EG11102"	9.70816
"EG11103"	8.34775
"EG11104"	7.10536
"EG11105"	9.64189
"EG11108"	8.836615
"EG11109"	8.50063
"EG11110"	10.52075
"EG11111"	10.68425
"EG11112"	9.43428
"EG11113"	10.95505
"EG11116"	11.2562
"EG11117"	9.562225
"EG11118"	9.968915
"EG11119"	13.15995
"EG11120"	8.1316
"EG11121"	9.792735
"EG11122"	9.681285
"EG11123"	9.70951
"EG11124"	8.745885
"EG11125"	8.87126
"EG11126"	9.43538
"EG11127"	9.441065
"EG11128"	11.25505
"EG11129"	8.33095
"EG11130"	7.7632
"EG11131"	9.81728
"EG11132"	9.551715
"EG11133"	9.58763
"EG11134"	10.4373
"EG11135"	9.569735
"EG11136"	7.259615
"EG11137"	10.92995
"EG11138"	10.55875
"EG11139"	10.1052
"EG11140"	10.8209
"EG11141"	8.01311
"EG11142"	6.815865
"EG11143"	10.2389
"EG11144"	9.016295
"EG11145"	8.413975
"EG11146"	8.61911
"EG11147"	9.254265
"EG11149"	10.8598
"EG11150"	7.311785
"EG11151"	10.6919
"EG11152"	9.430805
"EG11153"	12.4119
"EG11154"	8.48178
"EG11155"	8.875485
"EG11156"	7.122065
"EG11157"	9.931055
"EG11158"	8.5235
"EG11159"	9.20204
"EG11160"	11.1203
"EG11161"	9.450205
"EG11162"	9.843575
"EG11163"	8.497575
"EG11164"	10.42115
"EG11165"	10.47145
"EG11166"	9.04743
"EG11167"	9.5609
"EG11168"	7.474785
"EG11169"	7.399775
"EG11171"	9.502115
"EG11172"	8.36042
"EG11173"	8.011505
"EG11174"	6.73579
"EG11175"	8.345185
